NAME                                VERSION            TYPE                      
indent-string                       4.0.0              npm                       
infer-owner                         1.0.4              npm                       
inflection                          1.13.4             npm                       
inflight                            1.0.6              npm                       
inherits                            2.0.3              npm                       
inherits                            2.0.4              npm                       
ini                                 1.3.8              npm     (+1 duplicate)    
internal-slot                       1.1.0              npm                       
interpret                           1.1.0              npm                       
into-stream                         3.1.0              npm                       
invalid_main                        UNKNOWN            npm                       
invariant                           2.2.4              npm                       
ip                                  2.0.1              npm                       
ip-address                          10.0.1             npm                       
ip6                                 0.2.11             npm                       
ipaddr.js                           1.9.1              npm                       
is-absolute                         1.0.0              npm                       
is-accessor-descriptor              1.0.1              npm                       
is-arguments                        1.2.0              npm                       
is-array-buffer                     3.0.5              npm                       
is-arrayish                         0.3.2              npm                       
is-bigint                           1.1.0              npm                       
is-binary-path                      2.1.0              npm                       
is-boolean-object                   1.2.2              npm                       
is-buffer                           1.1.6              npm                       
is-callable                         1.2.7              npm                       
is-core-module                      2.16.1             npm                       
is-data-descriptor                  1.0.1              npm                       
is-date-object                      1.1.0              npm                       
is-descriptor                       0.1.7              npm     (+4 duplicates)   
is-descriptor                       1.0.3              npm                       
is-expression                       4.0.0              npm                       
is-extendable                       0.1.1              npm     (+6 duplicates)   
is-extendable                       1.0.1              npm                       
is-extglob                          2.1.1              npm                       
is-fullwidth-code-point             1.0.0              npm                       
is-fullwidth-code-point             2.0.0              npm                       
is-fullwidth-code-point             3.0.0              npm                       
is-generator-function               1.1.0              npm                       
is-glob                             3.1.0              npm                       
is-glob                             4.0.3              npm                       
is-lambda                           1.0.1              npm                       
is-map                              2.0.3              npm                       
is-natural-number                   4.0.1              npm                       
is-number                           3.0.0              npm                       
is-number                           7.0.0              npm     (+2 duplicates)   
is-number-like                      1.0.8              npm                       
is-number-object                    1.1.1              npm                       
is-object                           1.0.2              npm                       
is-plain-obj                        1.1.0              npm                       
is-plain-object                     2.0.4              npm                       
is-promise                          2.2.2              npm                       
is-regex                            1.2.1              npm                       
is-relative                         1.0.0              npm                       
is-retry-allowed                    1.2.0              npm                       
is-set                              2.0.3              npm                       
is-shared-array-buffer              1.0.4              npm                       
is-stream                           1.1.0              npm                       
is-stream                           2.0.1              npm                       
is-string                           1.1.1              npm                       
is-symbol                           1.1.1              npm                       
is-typed-array                      1.1.15             npm                       
is-unc-path                         1.0.0              npm                       
is-weakmap                          2.0.2              npm                       
is-weakset                          2.0.4              npm                       
is-windows                          1.0.2              npm                       
isarray                             0.0.1              npm                       
isarray                             1.0.0              npm     (+1 duplicate)    
isarray                             2.0.5              npm                       
isexe                               2.0.0              npm                       
isexe                               3.1.1              npm                       
isobject                            2.1.0              npm                       
isobject                            3.0.1              npm                       
isomorphic-ws                       5.0.0              npm                       
isurl                               1.0.0              npm                       
jackspeak                           3.4.3              npm                       
js-stringify                        1.0.2              npm                       
js-tokens                           4.0.0              npm                       
js-yaml                             3.14.1             npm                       
json-buffer                         3.0.0              npm                       
json5                               2.2.3              npm                       
jsonfile                            6.2.0              npm                       
jsonwebtoken                        0.1.0              npm                       
jsonwebtoken                        0.4.0              npm                       
jssha                               3.3.1              npm                       
jstransformer                       1.0.0              npm                       
juice-shop                          19.0.0             npm     (+1 duplicate)    
juicy-chat-bot                      0.9.0              npm                       
jwa                                 0.0.1              npm                       
jws                                 0.2.6              npm                       
keyv                                3.0.0              npm                       
kind-of                             3.2.2              npm     (+3 duplicates)   
kind-of                             4.0.0              npm                       
kind-of                             6.0.3              npm                       
kuler                               2.0.0              npm                       
lazystream                          1.0.1              npm                       
libc6                               2.36-9+deb12u10    deb                       
libgcc-s1                           12.2.0-14+deb12u1  deb                       
libgomp1                            12.2.0-14+deb12u1  deb                       
libssl3                             3.0.17-1~deb12u2   deb                       
libstdc++6                          12.2.0-14+deb12u1  deb                       
libxmljs2                           0.37.0             npm                       
liftup                              3.0.1              npm                       
linebreak                           1.1.0              npm                       
listenercount                       1.0.1              npm                       
ljharb-monorepo-symlink-test        0.0.0              npm                       
locate-path                         5.0.0              npm                       
lodash                              2.4.2              npm                       
lodash                              4.17.21            npm                       
lodash.camelcase                    4.3.0              npm                       
lodash.isfinite                     3.3.2              npm                       
lodash.set                          4.3.2              npm                       
logform                             2.7.0              npm                       
lolex                               1.3.2              npm                       
loose-envify                        1.4.0              npm                       
lowercase-keys                      1.0.0              npm                       
lru-cache                           10.4.3             npm     (+2 duplicates)   
lru-cache                           6.0.0              npm                       
make-dir                            1.3.0              npm                       
make-dir                            2.1.0              npm                       
make-error                          1.3.6              npm                       
make-fetch-happen                   14.0.3             npm                       
make-fetch-happen                   9.1.0              npm                       
make-iterator                       1.0.1              npm                       
make-plural                         4.3.0              npm                       
make-plural                         6.2.2              npm                       
map-cache                           0.2.2              npm                       
map-visit                           1.0.0              npm                       
